---,1,2,3,4,5,6,7,8,9,10
DefaultMaxHealth,100,150,200,250,300,350,400,450,500,600
DefaultMaxMana,0,0,0,0,0,0,0,0,0,0
DefaultAttackPower,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9
DefaultDefensePower,1,1,1,1,1,1,1,1,1,1
DefaultMoveSpeed,200,200,200,300,300,300,400,400,400,400
PlayerMaxHealth,10000,12000,14000,16000,18000,20000,22000,24000,26000,28000
PlayerMaxMana,100,100,100,100,100,100,100,100,100,100
PlayerAttackPower,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9
PlayerDefensePower,1,1,1,1,1,1,1,1,1,1
PlayerMoveSpeed,600,600,600,600,600,600,600,600,600,600
